N sim mu_vmp mu_mcmc psi_1_vmp psi_1_mcmc psi_2_vmp psi_2_mcmc psi_3_vmp psi_3_mcmc psi_4_vmp psi_4_mcmc zeta_vmp zeta_mcmc
50 68 0.01213077 0.01375361 0.002003643 0.003412601 0.05491536 0.047662 0.2004499 0.1561255 1.652273 0.258674 0.8170997 0.641456
50 69 0.00967896 0.01023021 0.01517809 0.01599935 0.09428021 0.09934091 0.3724998 0.3453351 1.476292 0.4529157 0.6376925 0.6340328
50 70 0.05543575 0.04694292 0.008591532 0.007115133 0.02454491 0.02643905 0.588595 0.1601281 1.564265 0.3375168 0.7021606 0.6588687
50 71 0.009376087 0.01624079 0.02149643 0.02750299 0.06245192 0.06917106 0.1467124 0.1325331 1.480669 0.1787406 0.7213158 0.6621891
50 72 0.03726814 0.05764776 0.007775465 0.01076541 0.06335397 0.06070549 0.1451626 0.07469379 1.641389 0.1304605 0.6976218 0.6532521
50 73 0.1213902 0.1584133 0.01514014 0.01800681 0.01667363 0.02919468 0.2676664 0.05271725 1.464792 0.2241389 0.76147 0.7196754
50 74 0.06697099 0.05807746 0.09382832 0.07221831 0.1148445 0.1153389 0.2687319 0.1151368 1.339679 0.131727 0.7139362 0.6889246
50 75 0.01626145 0.01331904 0.01263121 0.01367617 0.03302624 0.03936882 0.7271807 0.2734978 1.564077 0.2811752 0.6633076 0.6438126
50 76 0.01551647 0.01632617 0.05593551 0.05574416 0.1190174 0.1359997 0.6019658 0.29233 0.3227561 0.1317922 0.6706976 0.663787
50 77 0.02181747 0.02357896 0.02520301 0.02719098 0.08323066 0.0925798 0.07345107 0.07106272 1.842452 0.3758701 0.7108086 0.6255946
50 78 0.03799269 0.0301924 0.004289895 0.004391523 0.1702866 0.1954528 0.08749109 0.07261452 1.626764 0.2299299 0.6574306 0.6389595
50 79 0.02177715 0.01955395 0.009301296 0.008258771 0.02497677 0.02466786 0.0781412 0.06221058 1.855129 0.2006398 0.6239115 0.6012239
50 80 0.04061972 0.04015963 0.007522524 0.006237155 0.03977338 0.04095133 0.744193 0.1481502 1.966546 0.1835308 0.688185 0.6497055
